type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,8,262144,136157924,0,0,0,0,2150.73,2150.73,0,2079.61,2079.61,59506850
RRR,JP-JC,BF,JP-JC_BF,kronecker,16,1048576,200996124,0.1,1,29736,20.8917,145.849,166.741,3737,3074.96,6811.96,25232845
RRR,JP-JC,1H,JP-JC_1H,kronecker,32,262144,136157924,0.001,155,0,15.7174,18.9343,34.6517,159,2079.61,2238.61,69205845
RRR,JP-JC,BF,JP-JC_BF,kronecker,2,262144,136157924,0.1,1,15569,11.6516,405.484,417.136,491.5,2079.61,2571.11,60128720
RRR,JP-JC,1H,JP-JC_1H,kronecker,8,262144,136157924,0.001,155,0,15.149,73.4682,88.6173,159,2079.61,2238.61,68405284
RRR,JP-JC,BF,JP-JC_BF,kronecker,32,1048576,200996124,0.1,1,29736,20.9828,75.607,96.5898,3737,3074.96,6811.96,36382608
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,16,1048576,200996124,0,0,0,0,1565.15,1565.15,0,3074.96,3074.96,35652580
RRR,JP-JC,BF,JP-JC_BF,kronecker,8,1048576,200996124,0.1,1,29736,20.9351,283.601,304.536,3737,3074.96,6811.96,35338578
RRR,JP-JC,BF,JP-JC_BF,kronecker,8,262144,136157924,0.1,1,15569,11.7974,98.4755,110.273,491.5,2079.61,2571.11,58440755
RRR,JP-JC,BF,JP-JC_BF,kronecker,4,262144,136157924,0.1,1,15569,11.7308,196.104,207.835,491.5,2079.61,2571.11,61206086
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,4,262144,136157924,0,0,0,0,4285.2,4285.2,0,2079.61,2079.61,59506850
RRR,JP-JC,BF,JP-JC_BF,kronecker,16,262144,136157924,0.1,1,15569,11.7093,53.2779,64.9873,491.5,2079.61,2571.11,61983980
RRR,JP-JC,1H,JP-JC_1H,kronecker,2,262144,136157924,0.001,155,0,15.0065,293.886,308.892,159,2079.61,2238.61,66422796
RRR,JP-JC,1H,JP-JC_1H,kronecker,8,1048576,200996124,0.001,297,0,30.7741,201.549,232.323,1204,3074.96,4278.96,50600356
RRR,JP-JC,BF,JP-JC_BF,kronecker,4,1048576,200996124,0.1,1,29736,20.933,565.362,586.295,3737,3074.96,6811.96,29036739
RRR,JP-JC,BF,JP-JC_BF,kronecker,2,1048576,200996124,0.1,1,29736,20.7302,1156.42,1177.15,3737,3074.96,6811.96,28822097
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,1,262144,136157924,0,0,0,0,16424.4,16424.4,0,2079.61,2079.61,59506850
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,8,1048576,200996124,0,0,0,0,3030.13,3030.13,0,3074.96,3074.96,35652580
RRR,JP-JC,1H,JP-JC_1H,kronecker,16,262144,136157924,0.001,155,0,15.5869,37.1661,52.7529,159,2079.61,2238.61,75882514
RRR,JP-JC,1H,JP-JC_1H,kronecker,4,262144,136157924,0.001,155,0,15.1612,140.561,155.723,159,2079.61,2238.61,73740582
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,1,1048576,200996124,0,0,0,0,23131.7,23131.7,0,3074.96,3074.96,35652580
RRR,JP-JC,1H,JP-JC_1H,kronecker,1,1048576,200996124,0.001,297,0,29.9711,1578.13,1608.1,1204,3074.96,4278.96,52433558
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,2,1048576,200996124,0,0,0,0,11983.8,11983.8,0,3074.96,3074.96,35652580
RRR,JP-JC,BF,JP-JC_BF,kronecker,1,262144,136157924,0.1,1,15569,11.4392,789.472,800.911,491.5,2079.61,2571.11,61664495
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,2,262144,136157924,0,0,0,0,8486.25,8486.25,0,2079.61,2079.61,59506850
RRR,JP-JC,1H,JP-JC_1H,kronecker,16,1048576,200996124,0.001,297,0,31.1275,97.9671,129.095,1204,3074.96,4278.96,51474883
RRR,JP-JC,1H,JP-JC_1H,kronecker,32,1048576,200996124,0.001,297,0,30.7845,51.4176,82.2021,1204,3074.96,4278.96,48193666
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,32,1048576,200996124,0,0,0,0,836.664,836.664,0,3074.96,3074.96,35652580
RRR,JP-JC,BF,JP-JC_BF,kronecker,1,1048576,200996124,0.1,1,29736,20.3988,2160.69,2181.09,3737,3074.96,6811.96,27077528
RRR,JP-JC,BASE,JP-JC_BASE,kronecker,4,1048576,200996124,0,0,0,0,6080.91,6080.91,0,3074.96,3074.96,35652580
RRR,JP-JC,1H,JP-JC_1H,kronecker,4,1048576,200996124,0.001,297,0,30.0514,402.498,432.549,1204,3074.96,4278.96,49332061
RRR,JP-JC,BF,JP-JC_BF,kronecker,32,262144,136157924,0.1,1,15569,11.7846,28.0659,39.8505,491.5,2079.61,2571.11,60957944
RRR,JP-JC,1H,JP-JC_1H,kronecker,2,1048576,200996124,0.001,297,0,30.5676,822.93,853.498,1204,3074.96,4278.96,48518037
RRR,JP-JC,1H,JP-JC_1H,kronecker,1,262144,136157924,0.001,155,0,15.0097,583.978,598.987,159,2079.61,2238.61,63459445
